,ROI,level,media,sales,spend
96,0.0,2015_1,Online marketing,0.0,0.0
97,0.0,2015_2,Online marketing,0.0,0.0
98,0.0,2015_3,Online marketing,0.0,0.0
99,0.0,2015_4,Online marketing,0.0,0.0
100,0.0,2015_5,Online marketing,0.0,0.0
101,0.0,2015_6,Online marketing,0.0,0.0
102,33.081609377164966,2015_7,Online marketing,43.00609219031446,1.3
103,140.5968398529511,2015_8,Online marketing,14.059683985295111,0.1
104,33.13203865975211,2015_9,Online marketing,543.3654340199346,16.4
105,38.640404395459086,2015_10,Online marketing,942.8258672492016,24.4
106,43.377416377201016,2015_11,Online marketing,850.1973609931399,19.6
107,40.286048752636454,2015_12,Online marketing,906.4360969343202,22.5
108,41.20755054513672,2016_1,Online marketing,943.6529074836309,22.9
109,42.598806044716206,2016_2,Online marketing,847.7162402898524,19.9
110,42.026229303871254,2016_3,Online marketing,773.282619191231,18.4
111,42.30436108231399,2016_4,Online marketing,698.0219578581808,16.5
112,38.839484426987994,2016_5,Online marketing,920.4957809196154,23.7
113,57.582676322127774,2016_6,Online marketing,460.6614105770222,8.0
114,100.0,2016_7,Online marketing,66.16321875432993,0.0
115,0.0,2016_8,Online marketing,0.0,0.0
116,0.0,2016_9,Online marketing,0.0,0.0
117,0.0,2016_10,Online marketing,0.0,0.0
118,0.0,2016_11,Online marketing,0.0,0.0
119,0.0,2016_12,Online marketing,0.0,0.0
120,0.0,2015_1, Affiliates,0.0,0.0
121,0.0,2015_2, Affiliates,0.0,0.0
122,0.0,2015_3, Affiliates,0.0,0.0
123,0.0,2015_4, Affiliates,0.0,0.0
124,0.0,2015_5, Affiliates,0.0,0.0
125,0.0,2015_6, Affiliates,0.0,0.0
126,-123.77413144038992,2015_7, Affiliates,-61.88706572019496,0.5
127,-123.77413144038992,2015_8, Affiliates,-12.377413144038993,0.1
128,-123.77413144038992,2015_9, Affiliates,-618.8706572019496,5.0
129,-123.77413144038992,2015_10, Affiliates,-866.4189200827294,7.0
130,-123.77413144038992,2015_11, Affiliates,-816.9092675065734,6.6
131,-123.77413144038992,2015_12, Affiliates,-841.6640937946514,6.8
132,-123.77413144038992,2016_1, Affiliates,-915.9285726588855,7.4
133,-123.77413144038994,2016_2, Affiliates,-804.5318543625345,6.5
134,-123.77413144038992,2016_3, Affiliates,-767.3996149304176,6.2
135,-123.77413144038992,2016_4, Affiliates,-705.5125492102226,5.7
136,-123.77413144038992,2016_5, Affiliates,-841.6640937946514,6.8
137,-123.77413144038994,2016_6, Affiliates,-346.5675680330918,2.8
138,0.0,2016_7, Affiliates,0.0,0.0
139,0.0,2016_8, Affiliates,0.0,0.0
140,0.0,2016_9, Affiliates,0.0,0.0
141,0.0,2016_10, Affiliates,0.0,0.0
142,0.0,2016_11, Affiliates,0.0,0.0
143,0.0,2016_12, Affiliates,0.0,0.0
144,0.0,2015_1,SEM,0.0,0.0
145,0.0,2015_2,SEM,0.0,0.0
146,0.0,2015_3,SEM,0.0,0.0
147,0.0,2015_4,SEM,0.0,0.0
148,0.0,2015_5,SEM,0.0,0.0
149,0.0,2015_6,SEM,0.0,0.0
150,52.97147558021578,2015_7,SEM,264.8573779010789,5.0
151,91.7012740173272,2015_8,SEM,229.25318504331798,2.5
152,56.23515878423035,2015_9,SEM,348.65798446222817,6.2
153,32.79356234183899,2015_10,SEM,1046.1146387046638,31.9
154,98.9451269143946,2015_11,SEM,514.5146599548519,5.2
155,47.664519093611275,2015_12,SEM,533.8426138484463,11.2
156,83.54125510530487,2016_1,SEM,350.8732714422805,4.2
157,65.25406035242413,2016_2,SEM,319.74489572687827,4.9
158,64.90657320979635,2016_3,SEM,337.51418069094103,5.2
159,72.02009077085121,2016_4,SEM,302.4843812375751,4.2
160,56.58634059238419,2016_5,SEM,390.4457500874509,6.9
161,80.40079945346878,2016_6,SEM,297.4829579778345,3.7
162,100.0,2016_7,SEM,53.63080153011246,0.0
163,0.0,2016_8,SEM,0.0,0.0
164,0.0,2016_9,SEM,0.0,0.0
165,0.0,2016_10,SEM,0.0,0.0
166,0.0,2016_11,SEM,0.0,0.0
167,0.0,2016_12,SEM,0.0,0.0
168,0.0,2015_1,Radio,0.0,0.0
169,0.0,2015_2,Radio,0.0,0.0
170,0.0,2015_3,Radio,0.0,0.0
171,0.0,2015_4,Radio,0.0,0.0
172,0.0,2015_5,Radio,0.0,0.0
173,0.0,2015_6,Radio,0.0,0.0
174,0.0,2015_7,Radio,0.0,0.0
175,0.0,2015_8,Radio,0.0,0.0
176,0.0,2015_9,Radio,0.0,0.0
177,0.0,2015_10,Radio,0.0,0.0
178,0.0,2015_11,Radio,0.0,0.0
179,0.0,2015_12,Radio,0.0,0.0
180,-385.3104973574266,2016_1,Radio,-1040.3383428650518,2.7
181,-100.0,2016_2,Radio,-693.5588952433679,0.0
182,-479.99320791678934,2016_3,Radio,-431.9938871251104,0.9
183,-100.0,2016_4,Radio,-287.9959247500736,0.0
184,-461.110547932252,2016_5,Radio,-507.2216027254773,1.1
185,-100.0,2016_6,Radio,-338.1477351503182,0.0
186,0.0,2016_7,Radio,0.0,0.0
187,0.0,2016_8,Radio,0.0,0.0
188,0.0,2016_9,Radio,0.0,0.0
189,0.0,2016_10,Radio,0.0,0.0
190,0.0,2016_11,Radio,0.0,0.0
191,0.0,2016_12,Radio,0.0,0.0
192,0.0,2015_1,Other,0.0,0.0
193,0.0,2015_2,Other,0.0,0.0
194,0.0,2015_3,Other,0.0,0.0
195,0.0,2015_4,Other,0.0,0.0
196,0.0,2015_5,Other,0.0,0.0
197,0.0,2015_6,Other,0.0,0.0
198,0.0,2015_7,Other,0.0,0.0
199,0.0,2015_8,Other,0.0,0.0
200,0.0,2015_9,Other,0.0,0.0
201,0.0,2015_10,Other,0.0,0.0
202,0.0,2015_11,Other,0.0,0.0
203,0.0,2015_12,Other,0.0,0.0
204,41.29274751390345,2016_1,Other,1119.0334576267835,27.1
205,100.0,2016_2,Other,746.0223050845224,0.0
206,41.292747513903436,2016_3,Other,656.5546854710647,15.9
207,100.0,2016_4,Other,437.7031236473765,0.0
208,41.29274751390344,2016_5,Other,206.4637375695172,5.0
209,100.0,2016_6,Other,137.64249171301148,0.0
210,0.0,2016_7,Other,0.0,0.0
211,0.0,2016_8,Other,0.0,0.0
212,0.0,2016_9,Other,0.0,0.0
213,0.0,2016_10,Other,0.0,0.0
214,0.0,2016_11,Other,0.0,0.0
215,0.0,2016_12,Other,0.0,0.0
